Player,Team,Tournament,Role,attRTG,defRTG,roleRTG
SSeeS,DFM,Vct 2026 Pacific Stage 1,Controller,83,80,82
tkzin,LOUD,Vct 2026 Americas Stage 2,Duelist,81,83,82
zekken,MIBR,Vct 2026 Americas Stage 2,Duelist,80,83,82
Jesse,GX,Vct 2026 Emea Stage 2,Controller,81,83,82
Timotino,100T,Vct 2026 Americas Stage 1,Duelist,82,81,82
BeYN,KRX,Vct 2026 Pacific Kickoff,Initiator,82,82,82
WsLeo,XLG,Vct 2026 China Kickoff,Initiator,83,80,82
Sylvan,TS,Vct 2026 Pacific Stage 2,Controller,84,79,82
lucas,TEC,Vct 2026 China Stage 2,Initiator,84,79,82
GLYPH,M8,Vct 2026 Emea Stage 1,Controller,81,82,81
Leviathan,FS,Vct 2026 Pacific Stage 1,Controller,81,82,81
crazyguy,RRQ,Vct 2026 Pacific Kickoff,Controller,84,79,81
RieNs,TH,Vct 2026 Emea Stage 2,Initiator,80,82,81
KROSTALY,FUT,Vct 2026 Emea Stage 1,Initiator,81,81,81
DaviH,LOUD,Vct 2026 Americas Stage 2,Initiator,82,80,81
crashies,FNC,Vct 2026 Emea Stage 2,Initiator,82,80,81
KROSTALY,FUT,Valorant Masters London 2026,Initiator,80,82,81
blowz,LEV,Vct 2026 Americas Stage 2,Initiator,82,80,81
Xross,NS,Vct 2026 Pacific Stage 1,Initiator,81,82,81
lukxo,LOUD,Vct 2026 Americas Stage 2,Sentinel,81,81,81
Alfajer,FNC,Vct 2026 Emea Stage 2,Sentinel,77,86,81
mada,NRG,Vct 2026 Americas Kickoff,Duelist,79,84,81
Sylvan,TS,Vct 2026 Pacific Stage 1,Controller,81,81,81
dgzin,EG,Vct 2026 Americas Kickoff,Duelist,78,84,81
Kushy,RRQ,Vct 2026 Pacific Kickoff,Initiator,81,82,81
GLYPH,M8,Vct 2026 Emea Kickoff,Controller,81,81,81
Coco,TEC,Vct 2026 China Stage 1,Controller,82,80,81
jawgemo,G2,Vct 2026 Americas Stage 2,Duelist,80,82,81
Lysoar,XLG,Vct 2026 China Kickoff,Controller,83,79,81
Dambi,NS,Vct 2026 Pacific Stage 2,Duelist,82,80,81
Timotino,100T,Vct 2026 Americas Stage 2,Duelist,78,84,81
Kicks,TL,Vct 2026 Emea Stage 2,Controller,79,83,81
spike,LEV,Valorant Masters London 2026,Controller,83,77,81
Rossy,ENVY,Vct 2026 Americas Kickoff,Controller,79,83,81
Jamppi,VIT,Vct 2026 Emea Stage 2,Duelist,84,78,81
Ethan,NRG,Vct 2026 Americas Stage 2,Initiator,82,80,81
SugarZ3ro,ZETA,Vct 2026 Pacific Kickoff,Controller,81,81,81
UdoTan,GE,Vct 2026 Pacific Stage 2,Duelist,77,85,81
Shr1mp,AG,Vct 2026 China Stage 1,Initiator,83,79,81
WsLeo,XLG,Vct 2026 China Stage 2,Initiator,81,81,81
f0rsakeN,PRX,Vct 2026 Pacific Stage 2,Controller,80,81,81
s0pp,FUT,Vct 2026 Emea Stage 2,Duelist,77,85,81
spike,LEV,Vct 2026 Americas Stage 2,Duelist,74,86,81
leaf,G2,Vct 2026 Americas Stage 2,Controller,77,83,81
trent,G2,Vct 2026 Americas Kickoff,Initiator,78,83,81
Sato,LEV,Vct 2026 Americas Stage 2,Duelist,80,81,81
saadhak,KRÜ,Vct 2026 Americas Stage 1,Controller,79,82,81
skuba,NRG,Vct 2026 Americas Kickoff,Controller,79,82,81
BeYN,KRX,Vct 2026 Pacific Stage 2,Initiator,82,79,81
Klaus,VL,Vct 2026 Pacific Stage 2,Controller,83,78,81
something,PRX,Vct 2026 Pacific Kickoff,Duelist,79,82,81
C0M,FUR,Vct 2026 Americas Stage 2,Initiator,79,82,80
nAts,TL,Vct 2026 Emea Kickoff,Controller,81,80,80
mwzera,KRÜ,Vct 2026 Americas Stage 2,Initiator,81,80,80
Flex1n,DRG,Vct 2026 China Kickoff,Controller,79,82,80
Boaster,FNC,Vct 2026 Emea Stage 1,Controller,82,79,80
CHICHOO,EDG,Valorant Masters London 2026,Controller,82,79,80
SyouTa,ZETA,Vct 2026 Pacific Stage 2,Sentinel,83,78,80
Neon,LEV,Vct 2026 Americas Stage 1,Controller,81,80,80
Jemkin,RRQ,Vct 2026 Pacific Kickoff,Sentinel,81,79,80
cortezia,SEN,Vct 2026 Americas Stage 2,Sentinel,77,84,80
Meteor,T1,Vct 2026 Pacific Stage 2,Sentinel,80,81,80
heat,KRÜ,Vct 2026 Americas Stage 2,Duelist,80,81,80
aluba,WOL,Vct 2026 China Stage 2,Initiator,84,77,80
JitBoyS,FS,Vct 2026 Pacific Stage 1,Duelist,81,79,80
keiko,NRG,Valorant Masters Santiago 2026,Controller,81,80,80
marteen,M8,Valorant Masters Santiago 2026,Duelist,83,77,80
Kr1stal,GE,Vct 2026 Pacific Kickoff,Initiator,80,81,80
Deryeon,WOL,Vct 2026 China Stage 2,Controller,82,78,80
whzy,BLG,Vct 2026 China Kickoff,Duelist,84,77,80
xffero,RRQ,Vct 2026 Pacific Stage 1,Controller,79,81,80
iZu,T1,Vct 2026 Pacific Stage 1,Sentinel,79,81,80
Life,DRG,Vct 2026 China Stage 2,Duelist,84,76,80
nobody,EDG,Vct 2026 China Kickoff,Initiator,80,80,80
Xross,NS,Vct 2026 Pacific Stage 2,Duelist,77,83,80
Meiy,DFM,Vct 2026 Pacific Stage 2,Duelist,79,81,80
nekky,EF,Vct 2026 Emea Stage 1,Initiator,81,79,80
leaf,G2,Valorant Masters Santiago 2026,Controller,80,80,80
xeus,FUT,Valorant Masters London 2026,Duelist,82,78,80
STYRON,TS,Vct 2026 Pacific Stage 2,Initiator,79,81,80
starxo,M8,Vct 2026 Emea Stage 2,Initiator,79,81,80
jkuro,JDG,Vct 2026 China Kickoff,Controller,82,78,80
crazyguy,RRQ,Vct 2026 Pacific Stage 2,Initiator,78,81,80
aspas,MIBR,Vct 2026 Americas Kickoff,Duelist,80,80,80
Reduxx,SEN,Vct 2026 Americas Stage 2,Controller,78,81,80
Absol,ZETA,Vct 2026 Pacific Stage 2,Duelist,79,81,80
basic,FUR,Vct 2026 Americas Stage 2,Initiator,77,83,80
invy,PRX,Valorant Masters London 2026,Initiator,79,81,80
Mazino,MIBR,Vct 2026 Americas Stage 1,Controller,81,79,80
Ivy,NS,Vct 2026 Pacific Kickoff,Controller,80,79,80
supamen,EG,Vct 2026 Americas Stage 2,Controller,81,78,80
wayne,TL,Vct 2026 Emea Stage 1,Controller,79,81,80
SpiritZ1,DRG,Vct 2026 China Stage 1,Duelist,84,75,80
stax,T1,Vct 2026 Pacific Kickoff,Initiator,80,80,80
coconut,FPX,Vct 2026 China Stage 2,Initiator,79,80,80
yetujey,FUT,Vct 2026 Emea Stage 2,Sentinel,78,81,80
Jemkin,RRQ,Vct 2026 Pacific Stage 1,Duelist,77,82,80
bao,EG,Vct 2026 Americas Stage 2,Sentinel,81,78,80
Boaster,FNC,Vct 2026 Emea Stage 2,Controller,80,80,80
kaajak,FNC,Vct 2026 Emea Stage 1,Duelist,80,79,80
westside,GX,Vct 2026 Emea Stage 2,Sentinel,72,89,80
Meteor,T1,Vct 2026 Pacific Kickoff,Controller,80,79,79
nerve,FUR,Vct 2026 Americas Stage 1,Controller,79,80,79
Akame,DFM,Vct 2026 Pacific Kickoff,Initiator,77,81,79
starxo,M8,Vct 2026 Emea Kickoff,Initiator,79,80,79
UdoTan,GE,Vct 2026 Pacific Stage 1,Duelist,77,82,79
HYUNMIN,KRX,Vct 2026 Pacific Stage 2,Duelist,79,80,79
Ruxic,NAVI,Vct 2026 Emea Stage 1,Controller,79,79,79
mwzera,KRÜ,Vct 2026 Americas Stage 1,Initiator,78,80,79
FireBallOps,C9,Vct 2026 Americas Stage 2,Sentinel,76,82,79
benjyfishy,TH,Vct 2026 Emea Stage 2,Sentinel,82,77,79
