Player,Team,Tournament,Role,attRTG,defRTG,roleRTG
iZu,T1,Valorant Masters Santiago 2026,Controller,66,64,65
al0rante,PCF,Vct 2026 Emea Stage 1,Sentinel,65,65,65
Notexxd,C9,Vct 2026 Americas Stage 1,Controller,64,65,65
K1ra,AG,Valorant Masters Santiago 2026,Duelist,65,64,65
westside,GX,Vct 2026 Emea Stage 1,Sentinel,65,64,65
Okeanos,EG,Vct 2026 Americas Stage 1,Controller,65,64,65
Wo0t,TH,Vct 2026 Emea Stage 1,Sentinel,66,63,65
Asuna,100T,Vct 2026 Americas Stage 1,Controller,65,65,65
GuanG,NOVA,Vct 2026 China Kickoff,Duelist,65,64,65
Jieni7,EDG,Valorant Masters London 2026,Initiator,65,64,65
Eggsterr,ENVY,Vct 2026 Americas Stage 1,Duelist,63,67,65
Scales,TYL,Vct 2026 China Kickoff,Sentinel,66,63,65
brawk,NRG,Valorant Masters London 2026,Controller,65,65,65
artzin,FUR,Vct 2026 Americas Stage 1,Initiator,65,64,65
Sato,LEV,Vct 2026 Americas Stage 1,Controller,65,64,65
Asuna,100T,Vct 2026 Americas Stage 1,Initiator,69,60,65
penny,C9,Vct 2026 Americas Stage 1,Controller,62,67,65
CHICHOO,EDG,Valorant Masters Santiago 2026,Controller,65,64,65
koalanoob,FUR,Valorant Masters Santiago 2026,Duelist,66,62,64
PatMen,GE,Vct 2026 Pacific Kickoff,Duelist,64,64,64
artzin,FUR,Vct 2026 Americas Kickoff,Initiator,63,66,64
Life,FPX,Vct 2026 China Kickoff,Duelist,67,61,64
stew,JDG,Vct 2026 China Stage 1,Sentinel,64,65,64
Xeppaa,C9,Vct 2026 Americas Stage 1,Duelist,64,64,64
Demon1,ENVY,Vct 2026 Americas Stage 1,Sentinel,67,62,64
invy,PRX,Vct 2026 Pacific Stage 2,Controller,65,63,64
keiko,NRG,Valorant Masters London 2026,Duelist,65,64,64
Deryeon,WOL,Vct 2026 China Stage 2,Duelist,62,67,64
Akeman,KBG,Vct 2026 China Stage 2,Duelist,64,64,64
Jamppi,VIT,Vct 2026 Emea Kickoff,Initiator,66,63,64
UdoTan,GE,Valorant Masters London 2026,Sentinel,67,62,64
iZu,T1,Vct 2026 Pacific Kickoff,Initiator,66,63,64
Zellsis,C9,Vct 2026 Americas Kickoff,Sentinel,63,65,64
Zellsis,C9,Vct 2026 Americas Stage 1,Sentinel,65,64,64
artzin,FUR,Vct 2026 Americas Kickoff,Sentinel,63,66,64
alym,FUR,Vct 2026 Americas Stage 1,Controller,64,64,64
seven,PCF,Vct 2026 Emea Stage 1,Initiator,65,63,64
Ezeir,NOVA,Vct 2026 China Kickoff,Sentinel,64,64,64
slowly,TYL,Vct 2026 China Kickoff,Sentinel,65,63,64
SUYGETSU,KC,Vct 2026 Emea Stage 1,Controller,65,64,64
penny,C9,Vct 2026 Americas Kickoff,Controller,67,62,64
bud,BLG,Vct 2026 China Kickoff,Controller,64,64,64
westside,GX,Vct 2026 Emea Kickoff,Controller,63,65,64
keiko,NRG,Vct 2026 Americas Stage 1,Sentinel,64,64,64
hiro,NAVI,Vct 2026 Emea Stage 1,Initiator,62,66,64
JitBoyS,FS,Vct 2026 Pacific Stage 1,Sentinel,64,64,64
stew,JDG,Vct 2026 China Stage 1,Duelist,64,64,64
Okeanos,EG,Vct 2026 Americas Kickoff,Controller,64,64,64
Septem7,AG,Vct 2026 China Stage 1,Controller,64,64,64
Jemkin,RRQ,Vct 2026 Pacific Stage 2,Sentinel,65,63,64
Minny,M8,Vct 2026 Emea Stage 1,Initiator,65,62,64
f4ngeer,AG,Valorant Masters Santiago 2026,Sentinel,68,59,64
Shao,NAVI,Vct 2026 Emea Kickoff,Initiator,64,64,64
Kolosha,NAVI,Vct 2026 Emea Stage 1,Duelist,63,65,64
something,PRX,Vct 2026 Pacific Kickoff,Sentinel,65,63,64
Neon,LEV,Vct 2026 Americas Stage 2,Duelist,63,65,64
AAAAY,FPX,Vct 2026 China Kickoff,Controller,65,62,64
penny,C9,Vct 2026 Americas Kickoff,Sentinel,67,62,64
ZmjjKK,EDG,Vct 2026 China Stage 1,Sentinel,62,65,64
Bati,LOUD,Vct 2026 Americas Stage 1,Controller,63,64,64
f0rsakeN,PRX,Valorant Masters London 2026,Duelist,66,62,64
Boo,TH,Vct 2026 Emea Stage 2,Initiator,64,64,64
crazyguy,RRQ,Vct 2026 Pacific Kickoff,Initiator,63,64,64
Crewen,BBL,Vct 2026 Emea Stage 2,Controller,66,61,64
silentzz,KRÜ,Vct 2026 Americas Stage 1,Duelist,64,63,64
xeus,FUT,Valorant Masters London 2026,Sentinel,65,61,64
Erv,TYL,Vct 2026 China Stage 1,Controller,64,64,64
crownfisher,JDG,Vct 2026 China Stage 2,Duelist,64,63,64
yong,KRX,Vct 2026 Pacific Stage 1,Controller,64,64,64
Autumn,GE,Valorant Masters London 2026,Controller,65,62,64
yetujey,FUT,Vct 2026 Emea Kickoff,Duelist,67,60,64
BABYBAY,G2,Vct 2026 Americas Kickoff,Controller,67,61,64
Caedye,DFM,Vct 2026 Pacific Stage 1,Controller,63,65,64
Haodong,TEC,Vct 2026 China Kickoff,Initiator,62,66,64
oonzmlp,VL,Vct 2026 Pacific Stage 1,Initiator,65,62,64
kiNgg,LEV,Valorant Masters London 2026,Initiator,64,64,64
marteen,M8,Vct 2026 Emea Stage 1,Sentinel,64,63,64
SyouTa,ZETA,Vct 2026 Pacific Stage 1,Duelist,65,63,64
Demon1,ENVY,Vct 2026 Americas Stage 2,Controller,59,67,64
Setrod,FPX,Vct 2026 China Kickoff,Duelist,63,64,64
K1ra,AG,Vct 2026 China Stage 2,Sentinel,61,67,64
CyvOph,FNC,Vct 2026 Emea Stage 1,Initiator,63,65,64
Smoggy,EDG,Vct 2026 China Stage 2,Duelist,67,60,64
bipo,M8,Vct 2026 Emea Stage 2,Controller,63,64,64
cb,EDG,Valorant Masters Santiago 2026,Duelist,65,63,64
leaf,G2,Valorant Masters London 2026,Duelist,61,67,64
Coco,TEC,Vct 2026 China Stage 1,Sentinel,64,63,64
CyvOph,NAVI,Vct 2026 Emea Stage 2,Controller,63,65,64
Eren,AT,Vct 2026 China Stage 2,Sentinel,64,63,64
yilai,BLG,Vct 2026 China Stage 1,Sentinel,64,63,64
Klaus,VL,Vct 2026 Pacific Stage 1,Initiator,63,64,63
JitBoyS,FS,Vct 2026 Pacific Stage 2,Controller,67,60,63
qiutiaN,NOVA,Vct 2026 China Stage 2,Sentinel,64,63,63
Crewen,BBL,Valorant Masters Santiago 2026,Controller,61,66,63
NoMan,XLG,Vct 2026 China Stage 2,Sentinel,63,64,63
Okeanos,EG,Vct 2026 Americas Stage 1,Duelist,66,62,63
iamgrq,AG,Vct 2026 China Stage 1,Duelist,64,62,63
dos9,KC,Vct 2026 Emea Stage 1,Duelist,63,64,63
Xdll,ZETA,Vct 2026 Pacific Stage 1,Sentinel,65,62,63
Wo0t,TH,Valorant Masters London 2026,Duelist,63,64,63
N4RRATE,SEN,Vct 2026 Americas Kickoff,Sentinel,63,64,63
Demon1,ENVY,Vct 2026 Americas Stage 1,Controller,62,65,63
xavi8k,GE,Valorant Masters London 2026,Initiator,65,61,63
Jieni7,EDG,Vct 2026 China Stage 2,Controller,66,61,63
artzin,FUR,Vct 2026 Americas Stage 2,Duelist,65,62,63
echo,EF,Vct 2026 Emea Stage 2,Sentinel,65,62,63
keiko,NRG,Vct 2026 Americas Kickoff,Duelist,63,64,63
Ying,KBG,Vct 2026 China Stage 2,Controller,67,60,63
Coco,TEC,Vct 2026 China Stage 2,Sentinel,63,63,63
slowly,TYL,Vct 2026 China Kickoff,Initiator,64,62,63
PatMen,GE,Vct 2026 Pacific Kickoff,Sentinel,61,65,63
Erv,TYL,Vct 2026 China Stage 2,Duelist,65,62,63
Dingwei,AT,Vct 2026 China Stage 2,Initiator,65,61,63
yetujey,FUT,Vct 2026 Emea Kickoff,Sentinel,62,64,63
zerona,EG,Vct 2026 Americas Stage 1,Controller,63,64,63
invy,PRX,Valorant Masters Santiago 2026,Controller,67,59,63
SSeeS,DFM,Vct 2026 Pacific Stage 1,Initiator,65,61,63
Foxy9,GEN,Vct 2026 Pacific Stage 1,Controller,64,62,63
Meteor,T1,Valorant Masters Santiago 2026,Sentinel,66,61,63
Sayonara,VIT,Vct 2026 Emea Stage 2,Controller,63,63,63
Sato,LEV,Vct 2026 Americas Stage 2,Controller,65,61,63
xeus,FUT,Vct 2026 Emea Stage 2,Sentinel,62,63,63
iamgrq,AG,Valorant Masters Santiago 2026,Duelist,64,62,63
FengF,TE,Vct 2026 China Stage 2,Sentinel,61,67,63
Klaus,VL,Vct 2026 Pacific Stage 1,Sentinel,64,62,63
Setrod,FPX,Vct 2026 China Kickoff,Controller,66,58,63
Knight,BLG,Vct 2026 China Stage 2,Controller,65,61,63
f0rsakeN,PRX,Vct 2026 Pacific Stage 2,Initiator,62,64,63
Cloud,FNC,Vct 2026 Emea Stage 2,Duelist,62,73,63
Kr1stal,GE,Vct 2026 Pacific Kickoff,Controller,61,64,63
trexx,TL,Vct 2026 Emea Stage 2,Controller,64,60,63
Setrod,FPX,Vct 2026 China Kickoff,Initiator,63,62,63
UdoTan,GE,Vct 2026 Pacific Stage 1,Sentinel,62,63,63
GLYPH,ENVY,Vct 2026 Americas Stage 2,Controller,66,60,63
wayne,TL,Vct 2026 Emea Kickoff,Sentinel,64,62,63
Rossy,ENVY,Vct 2026 Americas Kickoff,Sentinel,61,64,63
d4v41,PRX,Vct 2026 Pacific Stage 2,Initiator,65,60,63
yosemite,WOL,Vct 2026 China Stage 1,Controller,64,62,63
PatMen,GE,Valorant Masters London 2026,Initiator,64,61,63
Folykiki,AT,Vct 2026 China Stage 2,Duelist,66,59,63
qiutiaN,WOL,Vct 2026 China Kickoff,Duelist,62,63,63
Ethan,NRG,Vct 2026 Americas Stage 2,Duelist,63,62,63
Abo,TEC,Vct 2026 China Kickoff,Controller,65,60,62
zhe,JDG,Vct 2026 China Stage 1,Controller,61,63,62
Au1,AG,Valorant Masters Santiago 2026,Sentinel,62,63,62
zhe,JDG,Vct 2026 China Stage 1,Sentinel,61,64,62
happywei,XLG,Vct 2026 China Stage 2,Sentinel,60,64,62
Ezeir,NOVA,Vct 2026 China Kickoff,Initiator,63,62,62
Spring,WOL,Vct 2026 China Stage 1,Duelist,64,60,62
BABYBAY,G2,Vct 2026 Americas Stage 2,Duelist,63,62,62
nobody,EDG,Valorant Masters Santiago 2026,Initiator,62,63,62
leaf,G2,Valorant Masters Santiago 2026,Sentinel,62,63,62
FengF,TE,Vct 2026 China Kickoff,Controller,63,62,62
sociablEE,FUT,Valorant Masters London 2026,Initiator,63,62,62
seven,PCF,Vct 2026 Emea Kickoff,Duelist,62,62,62
free1ng,KRX,Vct 2026 Pacific Stage 2,Controller,62,63,62
SyouTa,ZETA,Vct 2026 Pacific Kickoff,Sentinel,65,60,62
Darker,LOUD,Vct 2026 Americas Stage 1,Duelist,64,59,62
Sato,LEV,Valorant Masters London 2026,Controller,62,62,62
seven,PCF,Vct 2026 Emea Stage 1,Sentinel,65,60,62
silentzz,KRÜ,Vct 2026 Americas Stage 1,Initiator,62,62,62
Hermes,KRX,Vct 2026 Pacific Stage 1,Sentinel,65,60,62
Life,DRG,Valorant Masters London 2026,Duelist,64,61,62
Victor,SEN,Vct 2026 Americas Stage 1,Duelist,60,65,62
zerona,EG,Vct 2026 Americas Stage 2,Controller,62,63,62
leaf,G2,Vct 2026 Americas Stage 1,Sentinel,62,62,62
GREEN,NOVA,Vct 2026 China Kickoff,Duelist,61,64,62
Caedye,DFM,Vct 2026 Pacific Stage 1,Duelist,65,59,62
Kicks,TL,Vct 2026 Emea Stage 2,Initiator,63,61,62
Jesse,GX,Vct 2026 Emea Stage 2,Duelist,61,64,62
Autumn,GE,Vct 2026 Pacific Kickoff,Sentinel,61,62,62
Darker,LOUD,Vct 2026 Americas Stage 1,Initiator,61,62,62
Sharks,XLG,Vct 2026 China Stage 2,Duelist,60,64,62
Kushy,RRQ,Vct 2026 Pacific Stage 2,Initiator,63,61,62
Crws,FS,Valorant Masters London 2026,Sentinel,63,61,62
LohaN,TL,Vct 2026 Emea Stage 2,Controller,61,63,62
spike,LEV,Vct 2026 Americas Stage 1,Controller,63,60,62
koshmaras,TH,Vct 2026 Emea Stage 2,Controller,64,61,62
keznit,ENVY,Vct 2026 Americas Stage 1,Sentinel,61,66,62
UdoTan,GE,Vct 2026 Pacific Kickoff,Duelist,62,62,62
jowa,WOL,Vct 2026 China Kickoff,Duelist,61,63,62
Ying,KBG,Vct 2026 China Stage 2,Initiator,64,60,62
Minny,M8,Valorant Masters Santiago 2026,Initiator,63,60,62
cortezia,SEN,Vct 2026 Americas Kickoff,Sentinel,59,65,62
Dynamite,TEC,Vct 2026 China Stage 2,Sentinel,64,60,62
johnqt,SEN,Vct 2026 Americas Stage 1,Sentinel,61,63,62
sociablEE,FUT,Vct 2026 Emea Stage 2,Duelist,63,61,62
BerserX,TS,Vct 2026 Pacific Kickoff,Sentinel,61,63,62
Flickless,GX,Vct 2026 Emea Stage 2,Initiator,62,61,62
Leviathan,FS,Valorant Masters London 2026,Sentinel,62,61,62
ZynX,GEN,Vct 2026 Pacific Stage 1,Sentinel,60,64,62
something,PRX,Valorant Masters Santiago 2026,Initiator,62,61,62
leaf,G2,Vct 2026 Americas Kickoff,Duelist,60,67,62
Lysoar,XLG,Vct 2026 China Stage 1,Sentinel,60,63,62
FengF,TE,Vct 2026 China Stage 2,Duelist,66,58,62
d4v41,PRX,Valorant Masters Santiago 2026,Initiator,64,60,62
zerona,EG,Vct 2026 Americas Stage 1,Duelist,62,61,62
xeus,FUT,Vct 2026 Emea Stage 1,Sentinel,61,62,62
Eren,AT,Vct 2026 China Stage 2,Controller,63,59,62
whzy,BLG,Vct 2026 China Stage 1,Sentinel,62,61,62
kamo,TL,Vct 2026 Emea Stage 1,Initiator,63,60,62
SSeeS,DFM,Vct 2026 Pacific Stage 2,Sentinel,61,62,62
Bai,AG,Vct 2026 China Stage 1,Controller,62,61,62
jawgemo,G2,Vct 2026 Americas Stage 2,Initiator,63,61,62
GREEN,NOVA,Vct 2026 China Stage 1,Initiator,61,62,62
Neon,LEV,Vct 2026 Americas Kickoff,Sentinel,62,61,61
Monyet,RRQ,Vct 2026 Pacific Kickoff,Controller,59,64,61
Deryeon,WOL,Vct 2026 China Stage 2,Initiator,62,60,61
Desmo,FNC,Vct 2026 Emea Stage 1,Initiator,61,62,61
spike,LEV,Vct 2026 Americas Kickoff,Duelist,62,61,61
Bai,AG,Vct 2026 China Stage 1,Duelist,63,59,61
NoMan,XLG,Valorant Masters Santiago 2026,Duelist,62,61,61
Life,DRG,Valorant Masters London 2026,Sentinel,63,60,61
NoMan,XLG,Valorant Masters Santiago 2026,Sentinel,63,60,61
d4v41,PRX,Vct 2026 Pacific Kickoff,Initiator,60,62,61
Rossy,ENVY,Vct 2026 Americas Stage 1,Initiator,60,62,61
iZu,T1,Vct 2026 Pacific Stage 1,Duelist,63,59,61
Wo0t,TH,Vct 2026 Emea Kickoff,Sentinel,62,61,61
sturNN,ULF,Vct 2026 Emea Kickoff,Sentinel,64,59,61
jowa,WOL,Vct 2026 China Kickoff,Initiator,62,60,61
Yuicaw,JDG,Vct 2026 China Stage 1,Controller,63,60,61
sturNN,ULF,Vct 2026 Emea Kickoff,Initiator,62,60,61
Xdll,ZETA,Vct 2026 Pacific Stage 1,Controller,63,59,61
K1ra,AG,Vct 2026 China Kickoff,Initiator,61,61,61
kellyS,TS,Vct 2026 Pacific Stage 2,Controller,62,60,61
natz,TS,Vct 2026 Pacific Stage 2,Duelist,58,66,61
oonzmlp,VL,Vct 2026 Pacific Stage 1,Duelist,58,64,61
westside,GX,Vct 2026 Emea Stage 1,Controller,61,61,61
Demon1,C9,Vct 2026 Americas Kickoff,Duelist,57,64,61
Meteor,T1,Valorant Masters Santiago 2026,Duelist,62,60,61
NoMan,XLG,Valorant Masters London 2026,Initiator,61,61,61
FKEY,TE,Vct 2026 China Stage 2,Duelist,64,57,61
yatsuka,DFM,Vct 2026 Pacific Stage 2,Initiator,57,63,61
Xlele,TE,Vct 2026 China Stage 1,Initiator,61,60,61
cNed,PCF,Vct 2026 Emea Stage 1,Sentinel,61,61,61
UNFAKE,VIT,Vct 2026 Emea Kickoff,Sentinel,59,62,61
CHICHOO,EDG,Valorant Masters Santiago 2026,Sentinel,61,61,61
yilai,BLG,Vct 2026 China Stage 1,Controller,62,60,61
Ezeir,NOVA,Vct 2026 China Kickoff,Controller,64,58,61
Lar0k,BBL,Vct 2026 Emea Stage 1,Sentinel,60,62,61
nekky,EF,Vct 2026 Emea Stage 1,Sentinel,61,60,61
XuNa,VL,Vct 2026 Pacific Stage 1,Controller,65,58,61
something,PRX,Vct 2026 Pacific Stage 1,Controller,61,61,61
Veqaj,FNC,Vct 2026 Emea Stage 1,Initiator,61,61,61
f0rsakeN,PRX,Vct 2026 Pacific Kickoff,Initiator,62,59,61
Crewen,BBL,Vct 2026 Emea Kickoff,Controller,61,60,61
Jieni7,EDG,Vct 2026 China Stage 2,Duelist,63,58,61
kellyS,TS,Vct 2026 Pacific Kickoff,Controller,60,61,61
Spring,WOL,Vct 2026 China Kickoff,Controller,61,60,61
JitBoyS,FS,Valorant Masters London 2026,Duelist,61,61,61
chloric,NAVI,Vct 2026 Emea Stage 1,Controller,60,61,61
crazyguy,RRQ,Vct 2026 Pacific Stage 2,Sentinel,63,57,61
Desmo,FNC,Vct 2026 Emea Stage 1,Controller,61,60,61
sociablEE,NAVI,Vct 2026 Emea Kickoff,Duelist,63,58,61
Akame,DFM,Vct 2026 Pacific Stage 1,Controller,59,62,61
bao,EG,Vct 2026 Americas Stage 1,Initiator,61,61,61
GuanG,NOVA,Vct 2026 China Stage 1,Duelist,60,61,61
Klaus,VL,Vct 2026 Pacific Stage 1,Controller,62,59,61
Boo,TH,Vct 2026 Emea Kickoff,Sentinel,63,60,60
JitBoyS,FS,Vct 2026 Pacific Stage 2,Sentinel,63,58,60
Alfajer,FNC,Vct 2026 Emea Kickoff,Controller,60,61,60
MONSTEERR,SGE,Vct 2026 Emea Stage 2,Sentinel,60,61,60
xavi8k,GE,Vct 2026 Pacific Kickoff,Sentinel,61,60,60
NoMan,XLG,Vct 2026 China Kickoff,Sentinel,63,57,60
Akame,DFM,Vct 2026 Pacific Stage 1,Sentinel,62,59,60
zhe,JDG,Vct 2026 China Stage 1,Initiator,62,57,60
purp0,TL,Vct 2026 Emea Stage 2,Sentinel,60,59,60
Boo,TH,Valorant Masters London 2026,Sentinel,61,60,60
Avez,KC,Vct 2026 Emea Stage 1,Duelist,60,61,60
Reduxx,SEN,Vct 2026 Americas Kickoff,Controller,60,61,60
Demon1,ENVY,Vct 2026 Americas Stage 2,Duelist,57,63,60
nephh,BLG,Vct 2026 China Stage 1,Initiator,63,58,60
Ruxic,NAVI,Vct 2026 Emea Stage 2,Duelist,61,59,60
Jamelinho213,SGE,Vct 2026 Emea Stage 2,Duelist,62,59,60
f0rsakeN,PRX,Valorant Masters Santiago 2026,Sentinel,61,60,60
vo0kashu,DRG,Valorant Masters London 2026,Controller,60,60,60
crazyguy,RRQ,Vct 2026 Pacific Stage 1,Sentinel,60,60,60
nerve,FUR,Valorant Masters Santiago 2026,Initiator,61,59,60
koshmaras,TH,Vct 2026 Emea Stage 1,Sentinel,60,60,60
Wo0t,TH,Valorant Masters London 2026,Sentinel,61,59,60
Jieni7,EDG,Vct 2026 China Stage 2,Sentinel,60,60,60
Bai,AG,Vct 2026 China Stage 2,Controller,60,60,60
mada,NRG,Vct 2026 Americas Stage 1,Sentinel,61,59,60
qiutiaN,NOVA,Vct 2026 China Stage 1,Controller,59,61,60
Zellsis,C9,Vct 2026 Americas Stage 1,Initiator,60,59,60
FengF,TE,Vct 2026 China Kickoff,Sentinel,60,60,60
keznit,ENVY,Vct 2026 Americas Stage 1,Controller,59,60,60
artzin,FUR,Vct 2026 Americas Stage 1,Controller,59,60,60
seph1roth,FS,Vct 2026 Pacific Stage 2,Duelist,57,63,60
baha,FUT,Vct 2026 Emea Kickoff,Sentinel,59,60,60
penny,C9,Vct 2026 Americas Stage 1,Sentinel,62,57,60
al0rante,PCF,Vct 2026 Emea Kickoff,Sentinel,60,59,60
Rossy,ENVY,Vct 2026 Americas Stage 1,Sentinel,61,57,60
rushia,BLG,Vct 2026 China Stage 2,Controller,60,58,60
N4RRATE,KC,Vct 2026 Emea Stage 1,Sentinel,60,59,60
PatMen,GE,Valorant Masters London 2026,Duelist,59,60,60
erde,LOUD,Vct 2026 Americas Stage 1,Initiator,61,58,59
Favian,ULF,Vct 2026 Emea Kickoff,Sentinel,58,60,59
hiro,NAVI,Vct 2026 Emea Stage 2,Initiator,59,60,59
Xeppaa,C9,Vct 2026 Americas Stage 1,Sentinel,60,58,59
westside,GX,Vct 2026 Emea Stage 1,Initiator,58,61,59
chloric,NAVI,Vct 2026 Emea Stage 2,Controller,56,61,59
GREEN,NOVA,Vct 2026 China Stage 1,Duelist,56,63,59
Klaus,VL,Vct 2026 Pacific Stage 2,Duelist,59,59,59
infiltrator,KRÜ,Vct 2026 Americas Kickoff,Sentinel,58,61,59
Septem7,AG,Vct 2026 China Stage 1,Initiator,60,58,59
leaf,G2,Vct 2026 Americas Kickoff,Sentinel,58,60,59
Favian,ULF,Vct 2026 Emea Kickoff,Controller,61,58,59
swagzor,NOVA,Vct 2026 China Stage 1,Sentinel,59,59,59
Cryocells,100T,Vct 2026 Americas Stage 2,Controller,55,59,59
Coco,TEC,Vct 2026 China Kickoff,Initiator,58,60,59
Kushy,RRQ,Vct 2026 Pacific Stage 2,Sentinel,57,60,59
jowa,WOL,Vct 2026 China Stage 1,Duelist,60,58,59
Fizzy,SGE,Vct 2026 Emea Stage 2,Controller,59,59,59
ZmjjKK,EDG,Valorant Masters Santiago 2026,Duelist,56,61,59
Veqaj,FNC,Vct 2026 Emea Kickoff,Duelist,58,60,59
dgzin,EG,Vct 2026 Americas Stage 1,Sentinel,59,58,59
benjyfishy,TH,Valorant Masters London 2026,Controller,57,59,58
GREEN,NOVA,Vct 2026 China Kickoff,Initiator,62,57,58
heybay,NOVA,Vct 2026 China Kickoff,Sentinel,59,58,58
C1ndeR,VL,Vct 2026 Pacific Stage 1,Initiator,59,58,58
Verno,MIBR,Vct 2026 Americas Stage 1,Sentinel,60,58,58
azury,SGE,Vct 2026 Emea Stage 2,Controller,59,58,58
Caedye,DFM,Vct 2026 Pacific Stage 1,Initiator,59,58,58
zekken,MIBR,Vct 2026 Americas Stage 1,Initiator,59,58,58
deLb,TE,Vct 2026 China Kickoff,Sentinel,59,58,58
Desmo,FNC,Vct 2026 Emea Stage 1,Duelist,56,59,58
NINJA,PCF,Vct 2026 Emea Stage 2,Duelist,58,58,58
musashi,SGE,Vct 2026 Emea Stage 2,Initiator,57,58,58
Okeanos,EG,Vct 2026 Americas Stage 1,Initiator,59,57,58
Wo0t,TH,Vct 2026 Emea Stage 2,Initiator,58,57,58
Eggsterr,ENVY,Vct 2026 Americas Stage 1,Sentinel,57,58,57
ZynX,GEN,Vct 2026 Pacific Stage 1,Initiator,56,57,57
CyvOph,FNC,Vct 2026 Emea Stage 1,Controller,57,56,57
